Academic Year,Course Faculty,Course Department,Course Code,Course Title,Route Code,Route Name,Block,Occurrence,Module / Group Name,Module Availability,Min Credits,Max Credits,Module Code,Module Name,Core / Optional,Module Credits,Module Level,Module  Department,Module Coordinator,Module  Status,Module Planned Status
,,,,,,,,,USABILITY ENGINEERING,SMYEAR,,,M31495,USABILITY ENGINEERING,Core,20,FHEQ 5,COMP,Matthew Dennis,Approved,
,,,,,,,,,DATA STRUCTURES AND ALGORITHMS,SMSEP,,,M21270,DATA STRUCTURES AND ALGORITHMS,Core,20,FHEQ 5,COMP,Dalin Zhou,Approved,
,,,,,,,,,DATABASE PRINCIPLES,SMSEP,,,M21269,DATABASE PRINCIPLES,Core,20,FHEQ 5,COMP,Valentin Adamescu,Approved,
,,,,,,,,,U0968PYC | BSc (Hons) Software Engineering | Year 2 | Teaching Block 1,SMSEP,,,I00468,U0968PYC | BSc (Hons) Software Engineering | Year 2 | Teaching Block 1,Core,0,FHEQ 5,COMP,,Approved,
,,,,,,,,,WEB PROGRAMMING,SMJAN,,,M30237,WEB PROGRAMMING,Core,20,FHEQ 5,COMP,Richard Boakes,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M30236,3D COMPUTER GRAPHICS AND ANIMATION,Optional,20,FHEQ 5,COMP,Jiacheng Tan,Approved,
,,,,,,,,,,,,,M23800,COMPUTING UNDERGRADUATE AMBASSADOR,Optional,20,FHEQ 5,COMP,Petronella Beukman,Approved,
,,,,,,,,,,,,,M32724,DATA ANALYTICS AND VISUALISATION,Optional,20,FHEQ 5,COMP,Mark Venn,Approved,
,,,,,,,,,,,,,M21274,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,Optional,20,FHEQ 5,COMP,Janka Chlebikova,Approved,
,,,,,,,,,,,,,M30239,ETHICAL HACKING,Optional,20,FHEQ 5,COMP,Oluwatobi Fajana,Approved,
,,,,,,,,,,,,,IWLP20,IWLP - 20 CR - COURSE STRUCTURE PURPOSES ONLY,Optional,20,0,SELL,,Approved,
,,,,,,,,,,,,,M33122,SECURITY AND CRYPTOGRAPHY,Optional,20,FHEQ 5,COMP,David Williams,Approved,
,,,,,,,3,SEP,COMP TUTORIAL LEVEL 6,SMYEAR,,,M22733,COMP TUTORIAL LEVEL 6,Core,0,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,ENGINEERING PROJECT,SMYEAR,,,M34704,ENGINEERING PROJECT,Core,40,FHEQ 6,COMP,Shelley Usher,Approved,
,,,,,,,,,COMPLEX PROBLEM SOLVING,SMSEP,,,M33132,COMPLEX PROBLEM SOLVING,Core,20,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,U0968PYC | BSc (Hons) Software Engineering | Year 3 | Teaching Block 1,SMSEP,,,I00469,U0968PYC | BSc (Hons) Software Engineering | Year 3 | Teaching Block 1,Core,0,FHEQ 6,COMP,,Approved,
,,,,,,,,,SOFTWARE ENGINEERING CULTURE,SMJAN,,,M33175,SOFTWARE ENGINEERING CULTURE,Core,20,FHEQ 6,COMP,Sohail Safdar,Approved,
,,,,,,,,,Teaching Block 1 Optional Modules,SMSEP,20,20,M33174,ARTIFICIAL INTELLIGENCE,Optional,20,FHEQ 6,COMP,ioannis kagalidis,Approved,
,,,,,,,,,,,,,M30242,GRAPHICS AND COMPUTER VISION,Optional,20,FHEQ 6,COMP,Jiacheng Tan,Approved,
,,,,,,,,,,,,,M25764,PRACTICAL DATA ANALYTICS AND MINING,Optional,20,FHEQ 6,COMP,Mohamed Bader,Approved,
,,,,,,,,,,,,,M30245,PROJECT MANAGEMENT,Optional,20,FHEQ 6,COMP,Taiwo Adedeji,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M21278,ADVANCED DATABASE CONCEPTS,Optional,20,FHEQ 6,COMP,Valentin Adamescu,Approved,
,,,,,,,,,,,,,M26507,BUSINESS ANALYTICS,Optional,20,FHEQ 6,COMP,Elisavet Andrikopoulou,Approved,
,,,,,,,,,,,,,M33173,DIGITAL ENTERPRISE AND INNOVATION,Optional,20,FHEQ 6,COMP,Gelayol Golcarenarenji,Approved,
,,,,,,,,,,,,,M30226,INTERNET OF THINGS,Optional,20,FHEQ 6,COMP,Uchenna Ogenyi,Approved,
,,,,,,,,,,,,,M30241,ROBOTICS,Optional,20,FHEQ 6,COMP,Zhaojie Ju,Approved,
,,,,,,,,,,,,,M33121,USABILITY TESTING,Optional,20,FHEQ 6,COMP,Claudia Iacob,Approved,
,,,,,,,3P,SEP,EXCHANGE STUDY ABROAD,SMYEAR,,,M25681,EXCHANGE STUDY ABROAD,Optional,40,FHEQ 5,COMP,Janka Chlebikova,Approved,
,,,,,,,,,INDUSTRIAL PLACEMENT - SCHOOL OF COMPUTING,SMYEAR,,,M30876,INDUSTRIAL PLACEMENT - SCHOOL OF COMPUTING,Optional,20,FHEQ 5,LATW,Lee Woods,Approved,
,,,,,,,4,SEP,COMP TUTORIAL LEVEL 6,SMYEAR,,,M22733,COMP TUTORIAL LEVEL 6,Core,0,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,ENGINEERING PROJECT,SMYEAR,,,M34704,ENGINEERING PROJECT,Core,40,FHEQ 6,COMP,Shelley Usher,Approved,
,,,,,,,,,COMPLEX PROBLEM SOLVING,SMSEP,,,M33132,COMPLEX PROBLEM SOLVING,Core,20,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,U0968PYC | BSc (Hons) Software Engineering | Year 3 | Teaching Block 1,SMSEP,,,I00469,U0968PYC | BSc (Hons) Software Engineering | Year 3 | Teaching Block 1,Core,0,FHEQ 6,COMP,,Approved,
,,,,,,,,,SOFTWARE ENGINEERING CULTURE,SMJAN,,,M33175,SOFTWARE ENGINEERING CULTURE,Core,20,FHEQ 6,COMP,Sohail Safdar,Approved,
,,,,,,,,,Teaching Block 1 Optional Modules,SMSEP,20,20,M33174,ARTIFICIAL INTELLIGENCE,Optional,20,FHEQ 6,COMP,ioannis kagalidis,Approved,
,,,,,,,,,,,,,M30242,GRAPHICS AND COMPUTER VISION,Optional,20,FHEQ 6,COMP,Jiacheng Tan,Approved,
,,,,,,,,,,,,,M25764,PRACTICAL DATA ANALYTICS AND MINING,Optional,20,FHEQ 6,COMP,Mohamed Bader,Approved,
,,,,,,,,,,,,,M30245,PROJECT MANAGEMENT,Optional,20,FHEQ 6,COMP,Taiwo Adedeji,Approved,
,,,,,,,,,Teaching Block 2 Optional Modules,SMJAN,20,20,M21278,ADVANCED DATABASE CONCEPTS,Optional,20,FHEQ 6,COMP,Valentin Adamescu,Approved,
,,,,,,,,,,,,,M26507,BUSINESS ANALYTICS,Optional,20,FHEQ 6,COMP,Elisavet Andrikopoulou,Approved,
,,,,,,,,,,,,,M33173,DIGITAL ENTERPRISE AND INNOVATION,Optional,20,FHEQ 6,COMP,Gelayol Golcarenarenji,Approved,
,,,,,,,,,,,,,M30226,INTERNET OF THINGS,Optional,20,FHEQ 6,COMP,Uchenna Ogenyi,Approved,
,,,,,,,,,,,,,M30241,ROBOTICS,Optional,20,FHEQ 6,COMP,Zhaojie Ju,Approved,
,,,,,,,,,,,,,M22359,SECURITY AND CRYPTOGRAPHY,Optional,20,FHEQ 6,COMP,Hasheem Danbatta,Approved,
,,,,,,,,,,,,,M33121,USABILITY TESTING,Optional,20,FHEQ 6,COMP,Claudia Iacob,Approved,
