INDIVIDUAL PROJECT (ENGINEERING),SMYEAR,,,M24739,ENGINEERING PROJECT,Core,40,FHEQ 6,COMP,Shelley Usher,Approved,
ADVANCED NETWORKS,SMSEP,,,M21279,ADVANCED NETWORKS,Core,20,FHEQ 6,COMP,Asim Asim,Approved,
USABILITY TESTING,SMJAN,,,M33121,USABILITY TESTING,Core,20,FHEQ 6,COMP,Claudia Iacob,Approved,
