Academic Year,Course Faculty,Course Department,Course Code,Course Title,Route Code,Route Name,Block,Occurrence,Module / Group Name,Module Availability,Min Credits,Max Credits,Module Code,Module Name,Core / Optional,Module Credits,Module Level,Module  Department,Module Coordinator,Module  Status,Module Planned Status
,,,,,,,,,INDUSTRIAL PLACEMENT - SCHOOL OF COMPUTING,SMYEAR,,,M30876,INDUSTRIAL PLACEMENT - SCHOOL OF COMPUTING,Optional,20,FHEQ 5,LATW,Lee Woods,Approved,
,,,,,,,4,SEP,COMP TUTORIAL LEVEL 6,SMYEAR,,,M22733,COMP TUTORIAL LEVEL 6,Core,0,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,MALWARE FORENSICS,SMSEP,,,M23524,MALWARE FORENSICS,Core,20,FHEQ 6,COMP,Julian Murphy,Approved,
,,,,,,,,,U2753PYC | BSc (Hons) Cyber Security and Forensic Computing | Year 3 | Teaching Block 1,SMSEP,,,I00350,U2753PYC | BSc (Hons) Cyber Security and Forensic Computing | Year 3 | Teaching Block 1,Core,0,FHEQ 6,COMP,,Approved,
,,,,,,,,,VULNERABILITY DISCOVERY AND EXPLOITATION,SMJAN,,,M30255,VULNERABILITY DISCOVERY AND EXPLOITATION,Core,20,FHEQ 6,COMP,Julian Murphy,Approved,
,,,,,,,,,Year Long Optional Modules,SMYEAR,40,40,M34704,ENGINEERING PROJECT,Optional,40,FHEQ 6,COMP,Shelley Usher,Approved,
,,,,,,,,,,,,,M34703,STUDY PROJECT,Optional,40,FHEQ 6,COMP,Shelley Usher,Approved,
,,,,,,,,,Teaching Block 1 Optional Modules,SMSEP,20,20,M33132,COMPLEX PROBLEM SOLVING,Optional,20,FHEQ 6,COMP,Matthew Dennis,Approved,
,,,,,,,,,,,,,M25764,PRACTICAL DATA ANALYTICS AND MINING,Optional,20,FHEQ 6,COMP,Mohamed Bader,Approved,
,,,,,,,,,,,,,M25160,SECURITY MANAGEMENT,Optional,20,FHEQ 6,COMP,David Williams,Approved,
,,,,,,,,,January Optonal Modules,SMJAN,20,20,M30225,DISTRIBUTED SYSTEMS AND SECURITY,Optional,20,FHEQ 6,COMP,Amanda J Peart,Approved,
,,,,,,,,,,,,,M30226,INTERNET OF THINGS,Optional,20,FHEQ 6,COMP,Uchenna Ogenyi,Approved,
,,,,,,,,,,,,,M33141,IT AND INTERNETWORKING SECURITY,Optional,20,FHEQ 6,COMP,Shikun Zhou,Approved,
